id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
24800,4684,142,Entech Consulting,entech-consulting,Pennsylvania,PA,Malvern,50.355,19840768,49,8,Philadelphia,IT Services,2
3717,4687,134,LaSalle Network,lasalle-network,Illinois,IL,Chicago,50.2987,48156065,17,21,Chicago,Human Resources,10
2642,4690,156,Miles Technologies,miles-technologies,New Jersey,NJ,Moorestown,50.2429,17974660,49,8,Philadelphia,IT Services,4
38044,4691,103,Capify,capify,New York,NY,New York,50.2098,37860596,9,2,New York City,Financial Services,2
22399,4693,168,Solar Innovations Architectural Glazing Systems,solar-innovations-architectural-glazing-systems,Pennsylvania,PA,Pine Grove,50.1985,26103000,194,15,"Pottsville, PA",Manufacturing,4
44509,4694,483,Central Security Group,central-security-group,Oklahoma,OK,Tulsa,50.1845,90628371,841,13,"Tulsa, OK",Security,1
19036,4701,1880,Morgan Lewis,morgan-lewis,New York,NY,New York,49.9187,1844000000,9,17,New York City,Business Products & Services,3
9495,4702,180,Archer Malmo,archer-malmo,Tennessee,TN,Memphis,49.8858,20590019,105,5,"Memphis, TN-MS-AR",Advertising & Marketing,5
22705,4703,1010,PW Companies,pw-companies,Utah,UT,Sandy,49.8608,61846827,12,18,Salt Lake City,Retail,3
4790,4704,222,ettain group,ettain-group,North Carolina,NC,Charlotte,49.853,147044719,43,8,Charlotte,IT Services,6
3983,4711,247,Dataprise,dataprise,Maryland,MD,Rockville,49.7573,38061863,3,9,"Washington, DC",Software,11
2735,4714,556,CapTech Ventures,captech-ventures,Virginia,VA,Richmond,49.654,103371245,40,8,"Richmond, VA",IT Services,10
3640,4715,278,Service Express,service-express,Michigan,MI,Grand Rapids,49.5032,59285969,219,8,"Grand Rapids-Wyoming, MI",IT Services,8
784,4717,144,Navigator Management Partners,navigator-management-partners,Ohio,OH,Columbus,49.4839,36558699,19,8,"Columbus, OH",IT Services,10
4483,4719,130,Hire Dynamics,hire-dynamics,Georgia,GA,Duluth,49.4296,104129190,29,21,Atlanta,Human Resources,7
26211,4721,162,CapStar Bank,capstar-bank,Tennessee,TN,Nashville,49.4144,43656737,82,2,Nashville,Financial Services,2
44515,4722,253,Medsurant Holdings,medsurant-holdings,Pennsylvania,PA,West Conshohocken,49.4114,45071306,49,10,Philadelphia,Health,1
2364,4725,1165,IST Management Services,ist-management-services,Georgia,GA,Atlanta,49.2614,61871331,29,17,Atlanta,Business Products & Services,7
44517,4730,104,PCI Synthesis,pci-synthesis,Massachusetts,MA,Newburyport,49.0245,20370034,6,15,Boston,Manufacturing,1
22375,4733,117,The Remi Group,the-remi-group,North Carolina,NC,Charlotte,48.9423,68733591,43,17,Charlotte,Business Products & Services,5
18438,4736,237,ACT Environmental Services,act-environmental-services,California,CA,Sunnyvale,48.8548,52008253,20,23,San Jose,Environmental Services,7
22088,4739,720,Polsinelli,polsinelli,Missouri,MO,Kansas City,48.8203,410000000,21,17,"Kansas City, MO-KS",Business Products & Services,5
8022,4742,508,Dwyer Group,dwyer-group,Texas,TX,Waco,48.7452,117178437,163,4,"Waco, TX",Consumer Products & Services,3
23487,4744,192,National Corporate Housing,national-corporate-housing,Colorado,CO,Greenwood Village,48.6273,130131791,30,22,Denver,Travel & Hospitality,4
4796,4747,325,Wunderlich-Malec Engineering,wunderlich-malec-engineering,Minnesota,MN,Minnetonka,48.5332,92774183,13,24,Minneapolis,Engineering,6
44520,4748,260,Unique Home Solutions,unique-home-solutions,Indiana,IN,Indianapolis,48.5031,26374366,81,20,"Indianapolis, IN",Construction,1
3171,4750,137,Uckele Health & Nutrition,uckele-health-nutrition,Michigan,MI,Blissfield,48.4642,27057021,296,15,"Adrian, MI",Manufacturing,8
44521,4752,327,Taco John's of Iowa,taco-johns-of-iowa,South Dakota,SD,Sioux Falls,48.336,21661813,737,11,"Sioux Falls, SD",Food & Beverage,1
24371,4754,161,On Call International,on-call-international,New Hampshire,NH,Salem,48.3054,68890305,6,10,Boston,Health,4
38105,4755,1190,AIM Consulting Group,aim-consulting-group,Washington,WA,Bellevue,48.2771,97798607,23,8,Seattle,IT Services,2
17227,4756,1396,Granite Telecommunications,granite-telecommunications,Massachusetts,MA,Quincy,48.264,1091579000,6,14,Boston,Telecommunications,10
162,4757,196,Summa Technologies,summa-technologies,Pennsylvania,PA,Pittsburgh,48.251,34301687,52,8,"Pittsburgh, PA",IT Services,6
23965,4759,470,Shinetech Software,shinetech-software,New York,NY,New York,48.1923,15480421,9,8,New York City,IT Services,4
26177,4761,113,Milestone Internet Marketing,milestone-internet-marketing,California,CA,Santa Clara,48.108,23054612,20,5,San Jose,Advertising & Marketing,3
336,4762,124,Nitel,nitel,Illinois,IL,Chicago,48.0983,72808267,17,14,Chicago,Telecommunications,8
2650,4764,120,Cal Net Technology Group,cal-net-technology-group,California,CA,Chatsworth,48.0353,24398143,2,8,Los Angeles,IT Services,8
